model,method,board_seed,trial,status,stage,clue,count,guesses_before_miss,turn_outcome,assassin_hit,target_recovery_rate,intended_recall,intended_precision
meta-llama/llama-3.3-70b-instruct,strong_hebrew,8,0,ok,,אוויר,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,8,1,ok,,אוויר,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,8,2,ok,,אוויר,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,9,0,ok,,טבע,3,0,hit_opponent,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,strong_hebrew,9,1,ok,,סיפור,3,1,hit_civilian,False,0.3333333333333333,0.5,1.0
meta-llama/llama-3.3-70b-instruct,strong_hebrew,9,2,ok,,תרבות,3,1,hit_civilian,False,0.3333333333333333,0.0,0.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,0,0,ok,,רחוק,3,0,hit_civilian,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,0,1,ok,,רשת,3,0,hit_civilian,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,0,2,ok,,רחוק,3,0,hit_civilian,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,1,0,format_failure,guesser,קולנוע,2,,,,,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,1,1,ok,,סרט,3,2,hit_civilian,False,0.6666666666666666,0.6666666666666666,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,1,2,ok,,סרט,2,2,hit_opponent,False,1.0,1.0,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,2,0,ok,,מנהיג,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,2,1,ok,,מנהיג,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,2,2,ok,,מנהיג,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,3,0,format_failure,guesser,מבנה,3,,,,,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,3,1,ok,,מבנה,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,3,2,ok,,שחר,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,4,0,ok,,בניין,3,0,hit_assassin,True,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,4,1,ok,,בניין,2,0,hit_assassin,True,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,4,2,ok,,בניין,3,0,hit_assassin,True,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,5,0,ok,,רגל,3,0,hit_civilian,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,5,1,ok,,רישום,3,0,hit_opponent,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,5,2,ok,,ריש,3,0,hit_opponent,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,6,0,ok,,מסך,3,2,hit_assassin,True,0.6666666666666666,0.6666666666666666,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,6,1,format_failure,guesser,ראי,3,,,,,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,6,2,format_failure,guesser,ראי,3,,,,,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,7,0,ok,,מקום,3,3,hit_opponent,False,1.0,1.0,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,7,1,ok,,מקום,3,2,hit_opponent,False,0.6666666666666666,0.6666666666666666,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,7,2,ok,,מקום,3,2,hit_opponent,False,0.6666666666666666,0.6666666666666666,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,8,0,ok,,מערכת,3,0,hit_opponent,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,8,1,ok,,גובה,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
meta-llama/llama-3.3-70b-instruct,translate_pipeline,8,2,ok,,חום,3,0,hit_opponent,False,0.0,0.0,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,9,0,ok,,book,2,3,all_correct,False,1.5,0.5,0.3333333333333333
meta-llama/llama-3.3-70b-instruct,translate_pipeline,9,1,format_failure,guesser,מילה,3,,,,,,
meta-llama/llama-3.3-70b-instruct,translate_pipeline,9,2,format_failure,guesser,מילה,3,,,,,,
qwen/qwen3.5-9b,strong_hebrew,0,0,ok,,גאווה,4,1,hit_civilian,False,0.25,0.25,1.0
qwen/qwen3.5-9b,strong_hebrew,0,1,ok,,נחש,1,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,0,2,ok,,הפקר,2,1,hit_civilian,False,0.5,0.5,1.0
qwen/qwen3.5-9b,strong_hebrew,1,0,ok,,מלך,2,2,hit_opponent,False,1.0,0.0,0.0
qwen/qwen3.5-9b,strong_hebrew,1,1,ok,,כסף,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
qwen/qwen3.5-9b,strong_hebrew,1,2,ok,,שלג,2,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,2,0,ok,,מחשב,2,1,hit_civilian,False,0.5,0.5,1.0
qwen/qwen3.5-9b,strong_hebrew,2,1,format_failure,codemaster,,,,,,,,
qwen/qwen3.5-9b,strong_hebrew,2,2,ok,,מפה,2,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,3,0,ok,,נעל,3,0,hit_assassin,True,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,3,1,ok,,זורם,2,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,3,2,ok,,חידה,3,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,4,0,ok,,מקשה,2,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,4,1,ok,,שמש,3,2,hit_civilian,False,0.6666666666666666,0.6666666666666666,1.0
qwen/qwen3.5-9b,strong_hebrew,4,2,ok,,דואווי,2,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,5,0,ok,,סוד,2,2,hit_civilian,False,1.0,0.5,0.5
qwen/qwen3.5-9b,strong_hebrew,5,1,ok,,עץ,2,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,5,2,ok,,משימה,4,1,hit_opponent,False,0.25,0.25,1.0
qwen/qwen3.5-9b,strong_hebrew,6,0,ok,,קול,3,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,6,1,ok,,רשת,3,2,hit_opponent,False,0.6666666666666666,0.3333333333333333,0.5
qwen/qwen3.5-9b,strong_hebrew,6,2,format_failure,codemaster,,,,,,,,
qwen/qwen3.5-9b,strong_hebrew,7,0,ok,,חוקק,3,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,7,1,ok,,בית,4,2,hit_civilian,False,0.5,0.25,0.5
qwen/qwen3.5-9b,strong_hebrew,7,2,ok,,ימים,0,0,hit_opponent,False,,,
qwen/qwen3.5-9b,strong_hebrew,8,0,ok,,אסון,1,1,hit_opponent,False,1.0,0.0,0.0
qwen/qwen3.5-9b,strong_hebrew,8,1,ok,,אארית,5,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,8,2,ok,,מאוהב,3,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,9,0,ok,,פלגה,2,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,9,1,ok,,טבעת,3,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,strong_hebrew,9,2,ok,,תאמצת,1,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,0,0,ok,,קביעות,2,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,0,1,ok,,תקשורת,4,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,0,2,format_failure,codemaster,,,,,,,,
qwen/qwen3.5-9b,translate_pipeline,1,0,ok,,חוק,4,1,hit_opponent,False,0.25,0.0,0.0
qwen/qwen3.5-9b,translate_pipeline,1,1,ok,,התכתשות,2,1,hit_civilian,False,0.5,0.5,1.0
qwen/qwen3.5-9b,translate_pipeline,1,2,ok,,זמנה,2,2,hit_civilian,False,1.0,1.0,1.0
qwen/qwen3.5-9b,translate_pipeline,2,0,ok,,מספר,3,1,hit_opponent,False,0.3333333333333333,0.3333333333333333,1.0
qwen/qwen3.5-9b,translate_pipeline,2,1,ok,,לוח,4,0,hit_assassin,True,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,2,2,ok,,גבר,3,2,hit_opponent,False,0.6666666666666666,0.3333333333333333,0.5
qwen/qwen3.5-9b,translate_pipeline,3,0,ok,,מדידה,2,1,hit_opponent,False,0.5,1.0,1.0
qwen/qwen3.5-9b,translate_pipeline,3,1,ok,,לפיד,3,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,3,2,ok,,חגיגה,3,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,4,0,ok,,צמח,4,1,hit_civilian,False,0.25,0.25,1.0
qwen/qwen3.5-9b,translate_pipeline,4,1,ok,,סתום,2,1,hit_opponent,False,0.5,0.5,1.0
qwen/qwen3.5-9b,translate_pipeline,4,2,ok,,מבחן,4,2,hit_opponent,False,0.5,0.5,1.0
qwen/qwen3.5-9b,translate_pipeline,5,0,ok,,חבר,3,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,5,1,ok,,אגו,3,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,5,2,ok,,מסדר,4,1,hit_opponent,False,0.25,0.25,1.0
qwen/qwen3.5-9b,translate_pipeline,6,0,format_failure,guesser,כיוון,3,,,,,,
qwen/qwen3.5-9b,translate_pipeline,6,1,ok,,משקפיים,3,2,hit_opponent,False,0.6666666666666666,0.3333333333333333,0.5
qwen/qwen3.5-9b,translate_pipeline,6,2,ok,,כלכלה,3,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,7,0,format_failure,guesser,מאור,3,,,,,,
qwen/qwen3.5-9b,translate_pipeline,7,1,ok,,ים,5,1,hit_assassin,True,0.2,0.2,1.0
qwen/qwen3.5-9b,translate_pipeline,7,2,ok,,בוס,3,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,8,0,ok,,אבן,3,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,8,1,ok,,על,2,0,hit_opponent,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,8,2,ok,,סין,1,1,hit_civilian,False,1.0,1.0,1.0
qwen/qwen3.5-9b,translate_pipeline,9,0,ok,,ארץ,2,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,9,1,ok,,זכוכית,3,0,hit_civilian,False,0.0,0.0,
qwen/qwen3.5-9b,translate_pipeline,9,2,format_failure,codemaster,,,,,,,,
